final\initial,vowels,y,r,l,v,ś,ṣ,s,h,"(vowels = all except vocalic r and l, that can never end a word)",,,,,,,,,
aḥ,a/o',o,o,o,o,,,,o,,,,,,,,,,
āḥ,ā,ā,ā,ā,ā,,,,ā,,,,,,,,,,
(V)ḥ,r,r, ,r,r,,,,r,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
final\initial,a,A,i,i,u,U,f,e,E,o,O,y,r,l,v,S,z,s,h
aH,o',a,a,a,a,a,a,a,a,a,a,o,o,o,o,aH,aH,aH,o
AH,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,AH,AH,AH,A
iH,ir,ir,ir,ir,ir,ir,ir,ir,ir,ir,ir,ir,I,ir,ir,H,iH,iH,ir
IH,Ir,Ir,Ir,Ir,Ir,Ir,Ir,Ir,Ir,Ir,Ir,Ir,I,Ir,Ir,H,IH,IH,Ir
uH,ur,ur,ur,ur,ur,ur,ur,ur,ur,ur,ur,ur,U,ur,ur,H,uH,uH,ur
UH,Ur,Ur,Ur,Ur,Ur,Ur,Ur,Ur,Ur,Ur,Ur,Ur,U,Ur,Ur,H,UH,UH,Ur
eH,er,er,er,er,er,er,er,er,er,er,er,er,e,er,er,H,eH,eH,er
oH,or,or,or,or,or,or,or,or,or,or,or,or,o,or,or,H,oH,oH,or
EH,Er,Er,Er,Er,Er,Er,Er,Er,Er,Er,Er,Er,E,Er,Er,H,EH,EH,Er
OH,Or,Or,Or,Or,Or,Or,Or,Or,Or,Or,Or,Or,O,Or,Or,H,OH,OH,Or
