final\initial,k/kh,g/gh,c/ch,j/jh,ṭ/ṭh,ḍ/ḍh,t/th,d/dh,p/ph,b/bh,n/m,,,,,,,,,,,,,,,,,,,,,,,
aḥ,,o,aś,o,aṣ,o,as,o,,o,o,,,,,,,,,,,,,,,,,,,,,,,
āḥ,,ā,āś,ā,āṣ,ā,ās,ā,,ā,ā,,,,,,,,,,,,,,,,,,,,,,,
(V)ḥ,,r,ś,r,ṣ,r,s,r,,r,r,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final\initial,k,K,g,g,G,G,c,C,j,j,J,J,w,W,q,q,Q,Q,t,T,d,d,D,D,p,P,b,b,B,B,n,n,m,m
aH,aH,aH,o,ar,o,ar,aS,aS,o,ar,o,ar,az,az,o,ar,o,ar,as,as,o,ar,o,ar,aH,aH,o,ar,o,ar,o,ar,o,ar
AH,AH,AH,A,Ar,A,Ar,AS,AS,A,Ar,A,Ar,Az,Az,A,Ar,A,Ar,As,As,A,Ar,A,Ar,AH,AH,A,Ar,A,Ar,A,Ar,A,Ar
iH,iH,iH,ir,ir,ir,ir,iS,iS,ir,ir,ir,ir,iz,iz,ir,ir,ir,ir,is,is,ir,ir,ir,ir,iH,iH,ir,ir,ir,ir,ir,ir,ir,ir
IH,IH,IH,Ir,Ir,Ir,Ir,IS,IS,Ir,Ir,Ir,Ir,Iz,Iz,Ir,Ir,Ir,Ir,Is,Is,Ir,Ir,Ir,Ir,IH,IH,Ir,Ir,Ir,Ir,Ir,Ir,Ir,Ir
uH,uH,uH,ur,ur,ur,ur,uS,uS,ur,ur,ur,ur,uz,uz,ur,ur,ur,ur,us,us,ur,ur,ur,ur,uH,uH,ur,ur,ur,ur,ur,ur,ur,ur
UH,UH,UH,Ur,Ur,Ur,Ur,US,US,Ur,Ur,Ur,Ur,Uz,Uz,Ur,Ur,Ur,Ur,Us,Us,Ur,Ur,Ur,Ur,UH,UH,Ur,Ur,Ur,Ur,Ur,Ur,Ur,Ur
eH,eH,eH,er,er,er,er,eS,eS,er,er,er,er,ez,ez,er,er,er,er,es,es,er,er,er,er,eH,eH,er,er,er,er,er,er,er,er
oH,oH,oH,or,or,or,or,oS,oS,or,or,or,or,oz,oz,or,or,or,or,os,os,or,or,or,or,oH,oH,or,or,or,or,or,or,or,or
EH,EH,EH,Er,Er,Er,Er,ES,ES,Er,Er,Er,Er,Ez,Ez,Er,Er,Er,Er,Es,Es,Er,Er,Er,Er,EH,EH,Er,Er,Er,Er,Er,Er,Er,Er
OH,OH,OH,Or,Or,Or,Or,OS,OS,Or,Or,Or,Or,Oz,Oz,Or,Or,Or,Or,Os,Os,Or,Or,Or,Or,OH,OH,Or,Or,Or,Or,Or,Or,Or,Or
